Sample_ID,Rule
WR07-04,USE_SRV
WR07-02,USE_SRV
WR07-15,USE_SRV
WR07-21,USE_SRV
WR08-01,USE_SRV
WR08-07,USE_SRV
WR08-09,USE_SRV
WR08-15,USE_SRV
WR08-18,USE_SRV
WR08-19,USE_SRV
WR08-42,USE_SRV
WR08-43,USE_SRV
WR08-47,USE_SRV
WR08-52,USE_SRV
WR08-65,USE_SRV
WR08-70,USE_SRV
WR08-73,USE_SRV
WR08-79,USE_SRV
WR08-80,USE_SRV
WR08-82,USE_SRV
WR08-90,USE_SRV
WR08-91,USE_SRV
WR08-93,USE_SRV
WR09-01,USE_SRV
WR09-10,USE_SRV
WR09-22,USE_SRV
WR09-30,USE_SRV
WR09-45,USE_SRV
WR09-50,USE_SRV
WR09-56,USE_SRV
WR09-63,USE_SRV
WR09-64,USE_SRV
WR09-67,USE_SRV
WR09-68,USE_SRV
WR09-70,USE_SRV
WR15-5015,USE_SRV
WR15-5021,USE_SRV
WR15-5030,USE_SRV
WR15-5137,USE_SRV
WR15-5178,USE_SRV
WR15?5196,USE_SRV
WR15-5261,USE_SRV
WR15-5273,USE_SRV
WR15-7027,USE_SRV
WR15-7306,USE_SRV
WR15-80160,USE_SRV
WR15-80200,USE_SRV
WR15-80203,USE_SRV
WR15-80234,USE_SRV
WR15-80243,USE_SRV
WR15-80244,USE_SRV
WR15-80284,USE_SRV
WR15-80315,USE_SRV
WR15-80359,USE_SRV
WR15-80396,USE_SRV
WR17.5054,USE_SRV
WR17.7011,USE_SRV
WR17.7021,USE_SRV
WR17.7051,USE_SRV
WR17.80181,USE_SRV
WR16.7044,USE_SRV
WR16.80500,USE_SRV
WR16.7111,USE_SRV
WR15-80368,USE_SRV
WR15-5196,USE_SRV
