"","Brood_year","Habitat","mean_prop_fw_growth","min_prop_fw_growth","max_prop_fw_growth","se_prop_fw_growth","n_fish"
"1",2004,"AME",0.0989254660179634,0,0.772413975014845,0.0470302854393634,29
"2",2004,"DEL",0.17236879409749,0,0.766766471239933,0.0362800060105522,29
"3",2004,"LAS",0.121641166016704,0,0.829320079265055,0.0383103110536277,29
"4",2004,"SAC",0.591945903015787,0.170679920734945,1,0.053262585691731,29
"5",2004,"Unassigned",0.0151186708520562,0,0.220870780371814,0.00856660560175847,29
"6",2005,"AME",0.177553233994916,0,0.925105869516639,0.0357043616551016,90
"7",2005,"DEL",0.283529226392737,0,0.931181286018233,0.0305548627647493,90
"8",2005,"LAS",0.0612411990584525,0,0.644393918743437,0.0174485176579089,90
"9",2005,"SAC",0.474858387385415,0.0611680610747333,1,0.0320068407659725,90
"10",2005,"Unassigned",0.00281795316847964,0,0.253615785163168,0.00281795316847964,90
"11",2006,"AME",0.136344006222274,0,0.911329903668643,0.0356175277615836,67
"12",2006,"DEL",0.254202485455186,0,0.824839263020766,0.0314918431919286,67
"13",2006,"LAS",0.0204679256406024,0,0.400519158625921,0.00844772934669187,67
"14",2006,"SAC",0.587170101092908,0.0886700963313565,1,0.0378105580013605,67
"15",2006,"Unassigned",0.00181548158902957,0,0.121637266464981,0.00181548158902957,67
"16",2011,"AME",0.108762293997883,0,0.761336057985182,0.108762293997883,7
"17",2011,"DEL",0.245246281729578,0,0.72665527769727,0.0872460347233115,7
"18",2011,"LAS",0,0,0,0,7
"19",2011,"SAC",0.645991424272538,0.082830644101199,1,0.127277335346676,7
"20",2011,"Unassigned",0,0,0,0,7
"21",2012,"AME",0.0642487780020271,0,0.94006001099015,0.0118043961129782,315
"22",2012,"DEL",0.268133296024198,0,0.915828988338984,0.0137257542853059,315
"23",2012,"LAS",0.0176373660229927,0,0.71763485397769,0.00490664243466181,315
"24",2012,"SAC",0.647893541163241,0.0568258793729027,1,0.0163082787139476,315
"25",2012,"Unassigned",0.00208701878754093,0,0.163248500316681,0.000947804344105809,315
"26",2013,"AME",0.00216224446004304,0,0.24427131215712,0.00168400342352343,154
"27",2013,"DEL",0.182052551655796,0,0.812484278709442,0.0114684339436504,154
"28",2013,"LAS",0.0162431675421478,0,0.573872110592199,0.00637364528415287,154
"29",2013,"SAC",0.798873705752247,0.187515721290558,1,0.0130169971366168,154
"30",2013,"Unassigned",0.000668330589765955,0,0.102922910823957,0.000668330589765955,154
"31",2014,"AME",0.129787541812343,0,0.839482818085333,0.0463635195796595,39
"32",2014,"DEL",0.196929019101289,0,0.743695746228169,0.0301060254204615,39
"33",2014,"LAS",0.0049412432267519,0,0.122518134073394,0.00357917570916632,39
"34",2014,"SAC",0.668342195859615,0.160517181914667,1,0.0419477204434853,39
"35",2014,"Unassigned",0,0,0,0,39
"36",2015,"AME",0.134000675647549,0,0.536002702590198,0.134000675647549,4
"37",2015,"DEL",0.128712082818413,0,0.207537516272729,0.044752493035809,4
"38",2015,"LAS",0.0164338044944162,0,0.0657352179776646,0.0164338044944162,4
"39",2015,"SAC",0.720853437039622,0.256459781137073,0.934264782022335,0.156181190045178,4
"40",2015,"Unassigned",0,0,0,0,4
